timestamp,mean_value,median_value,std_dev,count,value
2025-06-26 00:00:00,49.931192017324804,49.1909332254372,15.383597796098057,1417,49.931192017324804
2025-06-26 01:00:00,50.278059642361846,49.918447912505506,14.872914543840734,1449,50.278059642361846
2025-06-26 02:00:00,49.82024355079719,49.85671653517935,15.293858195352094,1415,49.82024355079719
2025-06-26 03:00:00,50.38538190433505,50.20900302149915,15.169829859422643,1440,50.38538190433505
2025-06-26 04:00:00,50.14091748317395,49.80926830992692,14.987988659643236,1418,50.14091748317395
2025-06-26 05:00:00,49.95046493676341,50.34229693137913,14.709858388299129,1485,49.95046493676341
2025-06-26 06:00:00,50.194667952738655,50.17241441440433,14.911784983144786,1427,50.194667952738655
2025-06-26 07:00:00,50.072889125687894,50.60572408330462,14.965523465815831,1333,50.072889125687894
2025-06-26 08:00:00,49.6212259895922,49.656713627295815,14.745573260553883,1410,49.6212259895922
2025-06-26 09:00:00,50.65358335458332,51.04546395266503,14.857057289923885,1437,50.65358335458332
2025-06-26 10:00:00,50.20394415945092,50.053080816198204,15.149289260376264,1477,50.20394415945092
2025-06-26 11:00:00,50.51308203967483,49.86470524503416,14.679305343906112,1494,50.51308203967483
2025-06-26 12:00:00,50.03192519541091,49.42665702805013,15.035135479881564,1413,50.03192519541091
2025-06-26 13:00:00,49.44988576524372,49.69792348651863,14.999802173669368,1456,49.44988576524372
2025-06-26 14:00:00,50.10237447625951,49.9096727460437,15.210106373799505,1422,50.10237447625951
2025-06-26 15:00:00,50.07783140611404,49.585629710560994,14.883253244059118,1432,50.07783140611404
2025-06-26 16:00:00,50.05469168661684,49.75105464336777,15.008367721013643,1433,50.05469168661684
2025-06-26 17:00:00,50.07516633767279,49.337699427178876,15.09781730271571,1488,50.07516633767279
2025-06-26 18:00:00,50.20610068131569,50.388167469882035,15.182770403481872,1436,50.20610068131569
2025-06-26 19:00:00,50.25650019998775,49.4238830679206,15.088602413437547,1451,50.25650019998775
2025-06-26 20:00:00,49.8788851195176,50.13732753557034,14.904283490135459,1389,49.8788851195176
2025-06-26 21:00:00,49.761942586338805,49.327557979006386,14.953696547784851,1387,49.761942586338805
2025-06-26 22:00:00,49.92265586594089,49.65155126735504,14.909547818556323,1439,49.92265586594089
2025-06-26 23:00:00,49.06729363199914,48.83754743603241,15.167658350106755,1393,49.06729363199914
